Code,Name,Description,Prerequisites,Instructors,Meet Times,Credit Hours,Department
AML2410,Issues in American Literature and Culture,Introduces some of the most important issues that arise in the study of American literature and culture. The instructor determines the breadth and focus of the topic. (WR),Prereq: ENC 1101 or test score equivalent.,CR Dean,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': 'B310'}]",3,English
AML3285,Variable Surveys of American Literatures: Queer Latinidades,"The rich cultural traditions found in American literature. Topics may include gay and lesbian, Jewish American, Chicano/a, Latino/a, Native American, Southern, and other literatures. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Thomas Conners,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '12:35 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '5', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0117'}]",3,English
AML3607,African American Literature 2,Surveys the development of African American Literature from 1945 to the present.,Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Catherine Saunders,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '8:30 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '2', 'meetPeriodEnd': '3', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}]",3,English
AML4170,Studies in American Literary Forms: American Gothic,"Study of genre, such as the novel, detective novel, political novel, historical novel, utopian fiction, or Western; drama; short story; sermon traditions; African American cultural forms, African American folklore; long poem, lyric, philosophical poem, oral poetry; nature writing, autobiography, captivity narrative; narratives of exploration; political oratory; postmodernism; coming-out stories; humor. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Kaylee Lamb,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '11:45 AM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '5', 'meetPeriodEnd': '6', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}, {'meetNo': 2, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}]",3,English
AML4213,Studies in American Literature and Culture Before 1800: Early American Lit to 1830,"Variable topics focus on one or more of the major issues, movements, forms, or themes in the study of American literature and culture before 1800. Topics may include narratives of exploration and encounter, Puritan and/or Enlightenment writings, captivity and slave narratives, traditions of spiritual autobiography, post-colonial approaches to colonial rhetoric and poetry, and/or in-depth studies of selected writers. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Jodi Schorb,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '8', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0011'}]",3,English
AML4282,"Studies of Genders and Sexualities in American Literature and Culture: Queer Lit bef ""Honosexuality""","Variable topics focus on one or more of the major issues, movements, forms, or themes in the study of American literature and culture. Topics may include masculinity and femininity in literature, lesbian possibilities in popular culture, feminism and womanism, traditions of gay self-representation. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Jodi Schorb,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '1:40 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '6', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2322'}]",3,English
AML4311,Major Figures of American Literature and Culture: Ursula K. LeGuin,"In-depth focus on one major author, such as Dickinson, Twain, Faulkner, Hurston, or Morrison. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Stephanie Smith,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '9:35 AM', 'meetTimeEnd': '10:25 AM', 'meetPeriodBegin': '3', 'meetPeriodEnd': '3', 'meetBuilding': '', 'meetBldgCode': 'WEB', 'meetRoom': ''}]",3,English
AML4311,Major Figures of American Literature and Culture: Octavia Butler,"In-depth focus on one major author, such as Dickinson, Twain, Faulkner, Hurston, or Morrison. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Tace Hedrick,"[{'meetNo': 2, 'meetDays': ['W'], 'meetTimeBegin': '7:20 PM', 'meetTimeEnd': '10:10 PM', 'meetPeriodBegin': 'E1', 'meetPeriodEnd': 'E3', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0113'}]",3,English
AML4453,Studies in American Literature and Culture: Post-Civil Rights Lit and Law,"Variable topics examine issues, movements, forms, or themes that cross traditional period boundaries. Topics may include the city and the country in American fiction, Southern masculinity, reading and literacy in America, representations of class and religion in American literature, the body and technology, American regionalisms, the Pragmatist tradition, and nature and eco-criticism in American letters. Refer to department website for offered topics.",Prereq: 3 credits of ENC or CRW or AML or ENG or ENL.,Thomas Conners,"[{'meetNo': 1, 'meetDays': ['M', 'W', 'F'], 'meetTimeBegin': '3:00 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '8', 'meetPeriodEnd': '8', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0116'}]",3,English
CRW1101,Beginning Fiction Writing,For students who want to write fiction. Includes basics and heavy reading. Students write stories and their fiction is discussed in workshop.,Prereq: ENC 1101 or test score equivalency.,Yolanda Kwadey,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': 'MAT', 'meetBldgCode': '0406', 'meetRoom': '0006'}]",3,English
CRW1301,Beginning Poetry Writing,Concentrates on basics of reading and writing poetry. Some student writing will be discussed in workshop.,Prereq: ENC 1101 or test score equivalency.,Jonathan Wolf,"[{'meetNo': 1, 'meetDays': ['W'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'AND', 'meetBldgCode': '0007', 'meetRoom': '0032'}]",3,English
CRW2100,Fiction Writing,"Instruction in basic techniques of voice, plot and character while introducing advanced ones.",Prereq: CRW 1101 or junior/senior standing.,William Roberts,"[{'meetNo': 1, 'meetDays': ['R'], 'meetTimeBegin': '12:50 PM', 'meetTimeEnd': '3:50 PM', 'meetPeriodBegin': '6', 'meetPeriodEnd': '8', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': '2354'}]",3,English
CRW3110,Advanced Seminar in Fiction Writing,"Small workshop for students who have made their way out of beginner's workshops with sanity intact. Now the work gets more difficult, more deranged and more delightful. Emerson said, ""People do not deserve to have good writing, they are so pleased with bad."" Admission by manuscript review during advanced registration (refer to department website); by prerequisite during drop/add.",Prereq: CRW 2100.,Uwem Akpan,"[{'meetNo': 1, 'meetDays': ['T'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'NRN', 'meetBldgCode': '0101', 'meetRoom': '1001'}]",3,English
CRW3310,Advanced Seminar in Poetry Writing,"""More reeling and writhing,"" as Lewis Carroll said. An intense workshop for a small group of poets who have stared at the Pacific with a wild surmise. Like Balboa - or was it Cortez? Admission by manuscript review during advanced registration (refer to department website); by prerequisite during drop/add.",Prereq: CRW 1301 or CRW 2300.,William Littlejohn-Oram,"[{'meetNo': 1, 'meetDays': ['M'], 'meetTimeBegin': '4:05 PM', 'meetTimeEnd': '7:05 PM', 'meetPeriodBegin': '9', 'meetPeriodEnd': '11', 'meetBuilding': 'TUR', 'meetBldgCode': '0267', 'meetRoom': 'B310'}]",3,English
